"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC021224.1",1645.01454071018,0.621841652501668,0.103369334860299,6.0157265531608,1.79081650355898e-09,6.37888838567709e-06
"AL662797.1",2592.3723513392,0.489946079934933,0.0973873182546682,5.03090226443779,4.88176973204689e-07,0.000869443189277552
"CD7",2462.02075824391,-0.367233963634981,0.0746803437432671,-4.91741126550572,8.76961865904677e-07,0.00104124605545082
"HIST1H2BK",6713.63474283937,-0.397894397535256,0.0889821057276745,-4.47162262885745,7.76283246652487e-06,0.00553024184915232
"RAG1",2446.42273956074,-0.367809886557522,0.0819042115863322,-4.49073227656709,7.09787228837685e-06,0.00553024184915232
"RPLP1",18890.7595853452,-0.283611585321217,0.0651388399219592,-4.3539551158879,1.3370309312705e-05,0.00793750696197586
"HIST1H3H",7573.015870447,-0.415239084264257,0.096337075875749,-4.3102728673207,1.63053225848733e-05,0.00829707986390269
"HIST1H4H",8168.88353568974,-0.369242451046289,0.0871844153541554,-4.23518870369634,2.28359855653369e-05,0.00939836099360915
"MIF",2254.15756881907,-0.331431860192275,0.0784195289937544,-4.22639442553488,2.37465606239423e-05,0.00939836099360915
"SIX6",2417.39732274909,-0.322976854883932,0.077520953854549,-4.16631683209067,3.09560400227669e-05,0.0110265414561096
"HIST1H3C",3990.8353902479,-0.368862464528986,0.0891537172730827,-4.13737616121086,3.51299938613036e-05,0.0113757307394512
"HIST1H3B",13321.9183515607,-0.321329780722618,0.0798643683954767,-4.02344358539769,5.73533271497396e-05,0.0157148116390287
"HIST1H4E",12163.1124766586,-0.300352721561303,0.0744052032021355,-4.0367166358694,5.42044729053566e-05,0.0157148116390287
"AL356488.2",14517.5112192621,-0.272607029418898,0.0687637732815592,-3.96439893288993,7.35811125530837e-05,0.018721137351006
"HIST1H1E",12564.6270677997,-0.245841316305742,0.0629274315946438,-3.90674321318825,9.35484776372397e-05,0.0188323056584724
"GTPBP6",2108.57286726264,-0.369224318192804,0.0937052914555939,-3.94027180810569,8.13893385854599e-05,0.0188323056584724
"NECTIN1",1542.5012956785,-0.366327396214742,0.0934302185726362,-3.92086630868732,8.82312050547509e-05,0.0188323056584724
"ARL6IP4",2010.96081020285,-0.348290314258316,0.0892481793353753,-3.90249209397894,9.52073489430979e-05,0.0188323056584724
"AL355075.4",156633.282115621,-0.325006480559782,0.0835600728097059,-3.88949494215892,0.000100453062187248,0.0188323056584724
"HS6ST1",3097.0647924957,-0.30382372270004,0.0792016023218288,-3.83608050586501,0.000125013443271422,0.0222648942466403
"AC006064.4",2738.83136943965,0.415847411414969,0.111390586805321,3.73323656281432,0.000189034895589907,0.0320639189567261
"CCDC124",1998.88708458814,-0.310067464322579,0.0841215760817016,-3.6859445431863,0.000227855968804299,0.0340789140846019
"RPL13A",30954.3197794224,-0.208764464312955,0.0564245563723618,-3.69988667585189,0.000215695762866153,0.0340789140846019
"SLC19A1",1847.84715394002,-0.305241343917233,0.0828563121532557,-3.68398418882851,0.000229616490182607,0.0340789140846019
"H2AFX",5137.82561690288,-0.280666052310647,0.0768360558396847,-3.65279098781755,0.000259405373888982,0.0346539564384667
"TPI1",5567.97590172207,-0.246738166418601,0.0675432629223266,-3.65303889304763,0.000259154959597232,0.0346539564384667
"C12orf57",1828.17383564525,-0.316484253922674,0.0867181780410918,-3.6495722243231,0.00026267737895525,0.0346539564384667
"ENOSF1",1487.58493152489,0.305225315296338,0.0840246789142799,3.63256746994204,0.000280615170743074,0.0356982585066725
"PCBP1",2470.57425221085,-0.26553891960129,0.0748302170872473,-3.54855204137238,0.000387355445300017,0.0399257214761589
"H1FX",3266.92181898124,-0.325293728028775,0.0919487239784325,-3.53777316262786,0.000403516556188018,0.0399257214761589
"HIST1H2AC",8635.78353973992,-0.298601393042906,0.0833960779304232,-3.58052081648285,0.000342910021701562,0.0399257214761589
"HIST1H2AJ",5418.52967206216,-0.297892229305033,0.083749616770299,-3.55693841706841,0.000375202067976635,0.0399257214761589
"HIST1H2AK",2006.61624900282,-0.329539179278775,0.0922535767086744,-3.57210192857259,0.000354127520708742,0.0399257214761589
"APRT",1664.6494229355,-0.357823870202034,0.100795433639605,-3.55000080143944,0.000385229978503427,0.0399257214761589
"AC093484.3",1259.59189940462,0.435663271789188,0.122965996957345,3.54295726110621,0.00039566682034327,0.0399257214761589
"PPDPF",1760.25472483424,-0.349256408942161,0.0973544311933662,-3.58747316029679,0.000333898090239479,0.0399257214761589
"HIST1H2BN",5632.27211952864,-0.273746312819114,0.0783329993530771,-3.49464868037586,0.000474686136964233,0.0406009064127734
"CUTA",1544.83909084802,-0.335600935216073,0.0953967931302835,-3.51794776536925,0.000434897958720483,0.0406009064127734
"BCL7A",2845.63461734548,-0.277165573858926,0.0788943336878839,-3.51312395837486,0.000442870810080944,0.0406009064127734
"UBC",4991.29245340959,-0.239129647324605,0.0684717621561298,-3.49238342631433,0.000478730507955217,0.0406009064127734
"VAT1",6152.90071979469,-0.227135260454549,0.0648606023547407,-3.50189872138842,0.000461955184614055,0.0406009064127734
"CNOT3",1854.35822757465,-0.32997585479182,0.0940034753713775,-3.5102516528053,0.000447682783342146,0.0406009064127734
"ZBTB16",4400.26419543148,-0.235086807373769,0.0683663598894615,-3.43863279767813,0.000584659698637994,0.0484315778267101
"TMEM147",1109.93142278423,-0.324246807663372,0.0945276679603907,-3.43017885302364,0.000603183519936293,0.0488304476821153
